cnpj,cnpj_basico,razao_spa,n_autorizacoes,n_marcas,razao_rfb,natureza_juridica,natureza_desc,capital_social,situacao_cadastral,n_socios,n_socios_pj,n_socios_pf,n_socios_estrangeiros,achada_na_receita,eh_sa,ativa,nome_confere,tipo_qsa
56442917000109,56442917,7MBR LTDA,3,3,7MBR LTDA,2062,Sociedade Empresária Limitada,"50000000,00",02,5,0,5,0,True,False,True,True,sócios/cotistas
56147145000174,56147145,A2FBR S.A.,6,6,A2FBR S.A,2054,Sociedade Anônima Fechada,"70036842,10",02,6,0,6,0,True,True,True,False,administradores (S.A.)
55359927000104,55359927,ALFA ENTRETENIMENTO S.A.,1,1,ALFA ENTRETENIMENTO S.A.,2054,Sociedade Anônima Fechada,"255814477,00",02,3,0,3,0,True,True,True,True,administradores (S.A.)
55933850000134,55933850,ANA GAMING BRASIL S.A.,3,3,ANA GAMING BRASIL SA,2054,Sociedade Anônima Fechada,"50010000,00",02,5,0,5,0,True,True,True,False,administradores (S.A.)
54923003000126,54923003,APOLLO OPERATIONS LTDA,1,1,APOLLO OPERATIONS LTDA.,2062,Sociedade Empresária Limitada,"178761882,00",02,5,1,4,0,True,False,True,False,sócios/cotistas
56001749000108,56001749,APOSTA GANHA LOTERIAS LTDA,2,2,APOSTA GANHA LOTERIAS LTDA,2062,Sociedade Empresária Limitada,"35200000,00",02,8,0,8,0,True,False,True,True,sócios/cotistas
56706644000154,56706644,B3T4 INTERNATIONAL GROUP LTDA,3,3,B3T4 INTERNATIONAL GROUP LTDA,2062,Sociedade Empresária Limitada,"57000000,00",02,5,1,4,0,True,False,True,True,sócios/cotistas
57522731000114,57522731,BB GAMING LTDA,2,2,BB GAMING LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,5,2,3,0,True,False,True,True,sócios/cotistas
56638458000125,56638458,BELL VENTURES DIGITAL LTDA,1,1,BELL VENTURES DIGITAL LTDA,2062,Sociedade Empresária Limitada,"55000000,00",02,5,2,3,0,True,False,True,True,sócios/cotistas
54951974000180,54951974,BETBOOM LTDA,2,2,BETBOOM LTDA,2062,Sociedade Empresária Limitada,"35030000,00",02,5,1,4,0,True,False,True,True,sócios/cotistas
55881028000177,55881028,BETBR LOTERIAS LTDA,3,3,ACE GAMING LTDA.,2062,Sociedade Empresária Limitada,"30000000,00",02,4,1,3,0,True,False,True,False,sócios/cotistas
56295104000125,56295104,BETESPORTE APOSTAS ON LINE LTDA,2,2,BETESPORTE APOSTAS ON LINE LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,7,1,6,0,True,False,True,True,sócios/cotistas
56061524000147,56061524,BETSPEED LTDA,3,3,BETSPEED LTDA,2062,Sociedade Empresária Limitada,"37997141,00",02,6,1,5,0,True,False,True,True,sócios/cotistas
41590869000110,41590869,BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,1,1,BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,2054,Sociedade Anônima Fechada,"36000000,00",02,3,0,3,0,True,True,True,True,administradores (S.A.)
55988317000170,55988317,BLAC JOGOS LTDA,1,1,BLAC JOGOS LTDA,2062,Sociedade Empresária Limitada,"50629260,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
37486405000191,37486405,BLOW MARKETPLACE LTDA,3,3,BLOW MARKETPLACE LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,6,0,6,0,True,False,True,True,sócios/cotistas
53837227000152,53837227,BOA LION S.A.,2,2,BOA LION S.A,2054,Sociedade Anônima Fechada,"588450000,00",02,10,0,10,0,True,True,True,False,administradores (S.A.)
55590815000160,55590815,BPX BETS SPORTS GROUP LTDA,3,3,BPX BETS SPORTS GROUP LTDA,2062,Sociedade Empresária Limitada,"30000000,00",02,9,2,7,0,True,False,True,True,sócios/cotistas
56259060000188,56259060,BRILLIANT GAMING LTDA,3,3,BRILLIANT GAMING LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
24038490000183,24038490,CAIXA LOTERIAS S.A.,3,3,CAIXA LOTERIAS S.A,2054,Sociedade Anônima Fechada,"31800000,00",02,4,0,4,0,True,True,True,False,administradores (S.A.)
56636543000154,56636543,CDA GAMING LTDA,3,3,CDA GAMING LTDA,2062,Sociedade Empresária Limitada,"40000000,00",02,5,2,3,0,True,False,True,True,sócios/cotistas
47974569000111,47974569,DEFY LTDA,1,1,DEFY LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
56060798000111,56060798,DIGIPLUS BRAZIL INTERACTIVE LTDA,1,1,DIGIPLUS BRAZIL INTERACTIVE LTDA,2062,Sociedade Empresária Limitada,"65000000,00",02,5,1,4,0,True,False,True,True,sócios/cotistas
53570592000143,53570592,EA ENTRETENIMENTO E ESPORTES S.A.,2,2,EA ENTRETENIMENTO E ESPORTES S.A.,2054,Sociedade Anônima Fechada,"56019448,00",02,7,0,7,0,True,True,True,True,administradores (S.A.)
52639845000125,52639845,EB INTERMEDIACOES E JOGOS S.A.,2,2,EB INTERMEDIACOES E JOGOS S/A,2054,Sociedade Anônima Fechada,"40020500,00",02,5,0,5,0,True,True,True,False,administradores (S.A.)
53429401000128,53429401,ENSEADA SERVIÇOS E TECNOLOGIA LTDA,1,1,ENSEADA SERVICOS E TECNOLOGIA LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
56075466000100,56075466,ESPORTES GAMING BRASIL LTDA,3,3,ESPORTES GAMING BRASIL LTDA,2062,Sociedade Empresária Limitada,"65000000,00",02,5,1,4,0,True,False,True,True,sócios/cotistas
56108627000115,56108627,ESTADOX LTDA,3,3,ESTADOX LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,7,3,4,0,True,False,True,True,sócios/cotistas
51897834000182,51897834,F12 DO BRASIL JOGOS ELETRONICOS LTDA,3,3,F12 DO BRASIL JOGOS ELETRONICOS LTDA.,2062,Sociedade Empresária Limitada,"139126276,00",02,7,2,5,0,True,False,True,False,sócios/cotistas
55980542000160,55980542,FAST GAMING S.A.,3,3,FAST GAMING S A,2054,Sociedade Anônima Fechada,"60344828,00",02,4,0,4,0,True,True,True,False,administradores (S.A.)
56431248000161,56431248,FOGGO ENTERTAINMENT LTDA,2,2,FOGGO ENTERTAINMENT LTDA.,2062,Sociedade Empresária Limitada,"35000000,00",02,4,1,3,0,True,False,True,False,sócios/cotistas
55399607000188,55399607,FUTURAS APOSTAS LTDA,1,1,FUTURAS APOSTAS LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,7,1,6,0,True,False,True,True,sócios/cotistas
31853299000150,31853299,GALERA GAMING JOGOS ELETRONICOS S.A.,1,1,GALERA GAMING JOGOS ELETRONICOS S A,2054,Sociedade Anônima Fechada,"197095555,93",02,3,0,3,0,True,True,True,False,administradores (S.A.)
56195099000189,56195099,GAMEWIZ BRASIL LTDA,6,6,GAMEWIZ BRASIL LTDA,2062,Sociedade Empresária Limitada,"76250000,00",02,3,0,3,0,True,False,True,True,sócios/cotistas
37456039000128,37456039,GORILLAS GROUP DO BRASIL LTDA,3,3,GORILLAS GROUP DO BRASIL LTDA,2062,Sociedade Empresária Limitada,"35500000,00",02,4,0,4,0,True,False,True,True,sócios/cotistas
56303755000110,56303755,H2 LICENSED LTDA,2,2,H2 LICENSED LTDA,2062,Sociedade Empresária Limitada,"55000000,00",02,8,1,7,0,True,False,True,True,sócios/cotistas
54362120000168,54362120,HILGARDO GAMING LTDA,3,3,HILGARDO GAMING LTDA,2062,Sociedade Empresária Limitada,"64119900,00",02,7,1,6,0,True,False,True,True,sócios/cotistas
55404799000173,55404799,HIPER BET TECNOLOGIA LTDA.,1,1,HIPER BET TECNOLOGIA LTDA,2062,Sociedade Empresária Limitada,"95595580,00",02,10,9,1,0,True,False,True,False,sócios/cotistas
47123407000170,47123407,HS DO BRASIL LTDA,1,1,HS DO BRASIL LTDA.,2062,Sociedade Empresária Limitada,"247500000,00",02,6,2,4,0,True,False,True,False,sócios/cotistas
56302709000104,56302709,JOGO PRINCIPAL LTDA,3,3,JOGO PRINCIPAL LTDA,2062,Sociedade Empresária Limitada,"35500000,00",02,5,1,4,0,True,False,True,True,sócios/cotistas
46786961000174,46786961,KAIZEN GAMING BRASIL LTDA,1,1,KAIZEN GAMING BRASIL LTDA.,2062,Sociedade Empresária Limitada,"50000000,00",02,3,2,1,0,True,False,True,False,sócios/cotistas
50920462000103,50920462,LAGUNA SERVIÇOS E TECNOLOGIA LTDA,1,1,LAGUNA SERVICOS E TECNOLOGIA LTDA,2062,Sociedade Empresária Limitada,"46579709,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
56441713000145,56441713,LBBR APOSTAS DE QUOTA FIXA LIMITADA,3,3,LBBR  APOSTAS DE QUOTA FIXA S.A.,2054,Sociedade Anônima Fechada,"35000000,00",02,3,0,3,0,True,True,True,False,administradores (S.A.)
55045663000114,55045663,LEVANTE BRASIL LTDA,2,2,LEVANTE BRASIL LTDA,2062,Sociedade Empresária Limitada,"50000000,00",02,6,2,4,0,True,False,True,True,sócios/cotistas
50550511000155,50550511,LINDAU GAMING BRASIL S.A.,1,1,LINDAU GAMING BRASIL S.A.,2054,Sociedade Anônima Fechada,"38750000,00",02,5,0,5,0,True,True,True,True,administradores (S.A.)
56349116000195,56349116,LOGAME DO BRASIL LTDA,2,2,LOGAME DO BRASIL LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,2,1,1,0,True,False,True,True,sócios/cotistas
56212040000151,56212040,LUCKY GAMING LTDA,3,3,LUCKY GAMING LTDA,2062,Sociedade Empresária Limitada,"35500000,00",02,3,0,3,0,True,False,True,True,sócios/cotistas
56195600000107,56195600,MERIDIAN GAMING BRASIL SPE LTDA,2,2,MERIDIAN GAMING BRASIL SPE LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,3,2,1,0,True,False,True,True,sócios/cotistas
34935286000119,34935286,"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",3,3,"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA.",2062,Sociedade Empresária Limitada,"499505713,00",02,5,2,3,0,True,False,True,False,sócios/cotistas
55078134000117,55078134,NEXUS INTERNATIONAL LTDA,1,1,NEXUS INTERNATIONAL LTDA,2062,Sociedade Empresária Limitada,"30000000,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
60828451000143,60828451,NOSSO TIME IGAMING LTDA,1,1,NOSSO TIME IGAMING LTDA,2062,Sociedade Empresária Limitada,"40000000,00",02,5,1,4,0,True,False,True,True,sócios/cotistas
55229080000143,55229080,NSX BETFAIR BRASIL S.A,1,1,NSX BETFAIR BRASIL S.A.,2054,Sociedade Anônima Fechada,"2619845768,22",02,6,0,6,0,True,True,True,False,administradores (S.A.)
55056104000100,55056104,NSX BRASIL S.A.,1,1,NSX BRASIL S.A.,2054,Sociedade Anônima Fechada,"1126450566,45",02,6,0,6,0,True,True,True,True,administradores (S.A.)
50587712000127,50587712,NVBT GAMING LTDA,1,1,NVBT GAMING LTDA.,2062,Sociedade Empresária Limitada,"50000000,00",02,5,2,3,0,True,False,True,False,sócios/cotistas
55459453000172,55459453,OIG GAMING BRAZIL LTDA,4,4,OIG GAMING BRAZIL LTDA,2062,Sociedade Empresária Limitada,"70000000,00",02,6,1,5,0,True,False,True,True,sócios/cotistas
56873267000148,56873267,OLAVIR LTDA,1,1,OLAVIR LTDA,2062,Sociedade Empresária Limitada,"49780500,00",02,3,0,3,0,True,False,True,True,sócios/cotistas
53274124000121,53274124,OPEN GAMING S.A.,2,2,OPEN GAMING S.A.,2054,Sociedade Anônima Fechada,"35000001,00",02,3,0,3,0,True,True,True,True,administradores (S.A.)
55258645000110,55258645,PIX NA HORA,3,3,PIX NA HORA LTDA,2062,Sociedade Empresária Limitada,"36250000,00",02,2,0,2,0,True,False,True,False,sócios/cotistas
40633348000130,40633348,PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,3,3,PIXBET SOLUCOES TECNOLOGICAS LTDA,2062,Sociedade Empresária Limitada,"30000000,00",02,6,0,6,0,True,False,True,False,sócios/cotistas
56905647000117,56905647,RESPONSA GAMMING BRASIL LIMITADA,2,2,RESPONSA GAMMING BRASIL LIMITADA,2062,Sociedade Empresária Limitada,"30000000,00",02,7,0,7,0,True,False,True,True,sócios/cotistas
23159703000162,23159703,RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA,3,3,RR PARTICIPACOES E INTERMEDIACOES DE NEGOCIOS S/A,2054,Sociedade Anônima Fechada,"44000000,00",02,5,0,5,0,True,True,True,False,administradores (S.A.)
04426418000116,04426418,SABIA ADMINISTRACAO LTDA,3,3,SABIA ADMINISTRACAO LTDA,2062,Sociedade Empresária Limitada,"35030000,00",02,6,0,6,0,True,False,True,True,sócios/cotistas
54068631000171,54068631,SC OPERATING BRAZIL LTDA,2,2,SC OPERATING BRAZIL LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
56268974000105,56268974,SEGURO BET LTDA,2,2,VP ENTRETENIMENTO LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,11,2,9,0,True,False,True,False,sócios/cotistas
56875122000186,56875122,SELECT OPERATIONS LTDA,3,3,SELECT OPERATIONS S.A.,2054,Sociedade Anônima Fechada,"35000000,00",02,4,0,4,0,True,True,True,False,administradores (S.A.)
56504413000168,56504413,SEVENX GAMING LTDA,3,3,SEVENX GAMING S/A,2054,Sociedade Anônima Fechada,"35000000,00",02,5,0,5,0,True,True,True,False,administradores (S.A.)
17385948000105,17385948,SIMULCASTING BRASIL SOM E IMAGEM S.A.,1,1,SIMULCASTING BRASIL SOM E IMAGEM S/A,2054,Sociedade Anônima Fechada,"81874199,72",02,4,0,4,0,True,True,True,False,administradores (S.A.)
06023798000173,06023798,SISTEMA LOTÉRICO DE PERNAMBUCO LTDA.,3,3,SISTEMA LOTERICO DE PERNAMBUCO LTDA,2062,Sociedade Empresária Limitada,"36982000,00",02,1,0,1,0,True,False,True,False,sócios/cotistas
55927219000122,55927219,SKILL ON NET LTDA,2,2,SKILL ON NET LTDA,2062,Sociedade Empresária Limitada,"200000000,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
54989030000100,54989030,SORTENABET GAMING BRASIL S.A.,3,3,SORTENABET GAMING BRASIL SA,2054,Sociedade Anônima Fechada,"35000000,00",02,4,0,4,0,True,True,True,False,administradores (S.A.)
56257966000163,56257966,SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,3,3,SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,2062,Sociedade Empresária Limitada,"36000000,00",02,5,0,5,0,True,False,True,True,sócios/cotistas
54071596000140,54071596,SPRBT INTERACTIVE BRASIL LTDA,3,3,SPRBT INTERACTIVE BRASIL LTDA,2062,Sociedade Empresária Limitada,"1145205000,00",02,4,1,3,0,True,False,True,True,sócios/cotistas
56525936000190,56525936,STAKE BRAZIL LTDA,1,1,STAKE BRAZIL LTDA,2062,Sociedade Empresária Limitada,"87800000,00",02,6,2,4,0,True,False,True,True,sócios/cotistas
56183358000151,56183358,SUPREMA BET LTDA,3,3,SUPREMA BET LTDA,2062,Sociedade Empresária Limitada,"44000000,00",02,8,2,6,0,True,False,True,True,sócios/cotistas
55238676000100,55238676,TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.,2,2,TQJ-PAR PARTICIPACOES SOCIETARIAS S.A,2054,Sociedade Anônima Fechada,"40000000,00",02,4,0,4,0,True,True,True,False,administradores (S.A.)
56706701000103,56706701,TRACK GAMING BRASIL LTDA,2,2,TRACK GAMING BRASIL LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,6,1,5,0,True,False,True,True,sócios/cotistas
56236761000100,56236761,UPBET BRASIL LTDA,3,3,UPBET BRASIL LTDA,2062,Sociedade Empresária Limitada,"30000000,00",02,5,1,4,0,True,False,True,True,sócios/cotistas
56197912000150,56197912,UX ENTERTAINMENT LTDA,3,3,UX ENTERTAINMENT LTDA,2062,Sociedade Empresária Limitada,"35000000,00",02,6,1,5,0,True,False,True,True,sócios/cotistas
56885537000130,56885537,VANGUARD ENTRETENIMENTO BRASIL LTDA,3,3,VANGUARD ENTRETENIMENTO BRASIL LTDA.,2062,Sociedade Empresária Limitada,"35000000,00",02,4,1,3,0,True,False,True,False,sócios/cotistas
52868380000184,52868380,VENTMEAR BRASIL S.A.,2,2,VENTMEAR BRASIL LTDA.,2062,Sociedade Empresária Limitada,"55000000,00",02,5,1,4,0,True,False,True,False,sócios/cotistas
55080231000144,55080231,VERSUS BRASIL LTDA,2,2,VERSUS BRASIL LTDA.,2062,Sociedade Empresária Limitada,"37689000,00",02,4,1,3,0,True,False,True,False,sócios/cotistas
55822818000181,55822818,WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,3,3,WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,2054,Sociedade Anônima Fechada,"61488892,00",02,7,0,7,0,True,True,True,True,administradores (S.A.)
