;;;;
;;;;
Empresa explorando a modalidade lotérica de aposta de quota fixa em âmbito nacional em razão de determinação judicial durante o período de adaptação, conforme decisão liminar proferida no processo judicial nº 5007941-50.2025.4.03.6100.;;;;
DENOMINAÇÃO SOCIAL DA EMPRESA;CNPJ;MARCAS;DOMÍNIOS;INFORMAÇÕES JUDICIAIS
ZEROUMBET PLATAFORMA DIGITAL LTDA; 55.997.392/0001-05;ZEROUM; zeroum.bet;5007941-50.2025.4.03.6100, em trâmite na 14ª Vara Federal Cível da Seção Judiciária de São Paulo
;;ENERGIA;energia.bet;
;;SPORTVIP;sportvip.bet;
;;;;
Empresa explorando a modalidade lotérica de aposta de quota fixa em âmbito nacional em razão de determinação judicial, conforme decisão liminar proferida no processo judicial nº 1096849-60.2025.4.01.3400.;;;;
DENOMINAÇÃO SOCIAL DA EMPRESA;CNPJ;MARCAS;DOMÍNIOS;INFORMAÇÕES JUDICIAIS
 ZONA DE JOGO NEGÓCIOS E PARTICIPAÇÕES LTDA; 57.163.072/0001-77;ZONA DE JOGO; zonadejogo.bet.br;1096849-60.2025.4.01.3400, em trâmite na 4ª Vara Federal Cível da Seção Judiciária do Distrito Federal
;;APOSTAONLINE;apostaonline.bet.br;
;;ONLYBETS;onlybets.bet.br;
;;;;
*Para fins legais, a empresa goza de todos os direitos e deveres de uma empresa autorizada administrativamente.;;;;
