empresa,cnpj,marcas,dominios,portaria,requerimento,cnpj_basico,cnpj_dv_ok
BPX BETS SPORTS GROUP LTDA,55590815000160,VAIDEBET,vaidebet.bet.br,"SPA/MF nº 797, de 23 de março de 2026",0059/2024,55590815,True
BPX BETS SPORTS GROUP LTDA,55590815000160,BETPIX365,betpix365.bet.br,"SPA/MF nº 797, de 23 de março de 2026",0059/2024,55590815,True
BPX BETS SPORTS GROUP LTDA,55590815000160,OBABET,obabet.bet.br,"SPA/MF nº 797, de 23 de março de 2026",0059/2024,55590815,True
NOSSO TIME IGAMING LTDA,60828451000143,JOGA JUNTO,jogajunto.bet.br,"SPA/MF nº 604, de 6 de março de 2026",0062/2025,60828451,True
BB GAMING LTDA,57522731000114,BRA,bra.bet.br,"SPA/MF nº 92, de 13 de janeiro de 2026",0210/2024,57522731,True
BB GAMING LTDA,57522731000114,XX,xx.bet.br,"SPA/MF nº 92, de 13 de janeiro de 2026",0210/2024,57522731,True
ESTADOX LTDA,56108627000115,TROPINO,tropino.bet.br,"SPA/MF nº 2.325, de 14 de outubro de 2025",0091/2024,56108627,True
ESTADOX LTDA,56108627000115,BZ,bz.bet.br,"SPA/MF nº 2.325, de 14 de outubro de 2025",0091/2024,56108627,True
ESTADOX LTDA,56108627000115,55W,55w.bet.br,"SPA/MF nº 2.325, de 14 de outubro de 2025",0091/2024,56108627,True
OIG GAMING BRAZIL LTDA,55459453000172,ICE,ice.bet.br,"SPA/MF nº 2.040, de 11 de setembro de 2025",0044/2025,55459453,True
ENSEADA SERVIÇOS E TECNOLOGIA LTDA,53429401000128,KBET,kbet.bet.br,"SPA/MF nº 1.792, de 13 de agosto de 2025",0058/2024,53429401,True
LAGUNA SERVIÇOS E TECNOLOGIA LTDA,50920462000103,NOSSABET,nossa.bet.br,"SPA/MF nº 1.791, de 13 de agosto de 2025",0087/2024,50920462,True
DEFY LTDA,47974569000111,1XBET,1xbet.bet.br,"SPA/MF nº 1.666, de 29 de julho de 2025",0104/2024,47974569,True
CAIXA LOTERIAS S.A.,24038490000183,BETCAIXA,betcaixa.bet.br,"SPA/MF nº 1.665, de 29 de julho de 2025",0081/2024,24038490,True
CAIXA LOTERIAS S.A.,24038490000183,MEGABET,megabet.bet.br,"SPA/MF nº 1.665, de 29 de julho de 2025",0081/2024,24038490,True
CAIXA LOTERIAS S.A.,24038490000183,XBET CAIXA,xbetcaixa.bet.br,"SPA/MF nº 1.665, de 29 de julho de 2025",0081/2024,24038490,True
TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.,55238676000100,BAÚ BINGO,bau.bet.br,"SPA/MF nº 1.344, de 18 de junho de 2025",0055/2024,55238676,True
TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.,55238676000100,BET DO MILHÃO,milhao.bet.br,"SPA/MF nº 1.344, de 18 de junho de 2025",0055/2024,55238676,True
RESPONSA GAMMING BRASIL LIMITADA,56905647000117,JOGA LIMPO,jogalimpo.bet.br,"SPA/MF nº 1.343, de 18 de junho de 2025",0083/2024,56905647,True
RESPONSA GAMMING BRASIL LIMITADA,56905647000117,ENERGIA,energia.bet.br,"SPA/MF nº 1.343, de 18 de junho de 2025",0083/2024,56905647,True
SELECT OPERATIONS LTDA,56875122000186,MMA,mmabet.bet.br,"SPA/MF nº 1.112, de 21 de maio de 2025",0062/2024,56875122,True
SELECT OPERATIONS LTDA,56875122000186,BETVIP,betvip.bet.br,"SPA/MF nº 1.112, de 21 de maio de 2025",0062/2024,56875122,True
SELECT OPERATIONS LTDA,56875122000186,PAPIGAMES,papigames.bet.br,"SPA/MF nº 1.112, de 21 de maio de 2025",0062/2024,56875122,True
SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,56257966000163,ESPORTIVAVIP,esportivavip.bet.br,"SPA/MF nº 1.055, de 14 de maio de 2025",0065/2024,56257966,True
SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,56257966000163,CBESPORTES,cbesportes.bet.br,"SPA/MF nº 1.055, de 14 de maio de 2025",0065/2024,56257966,True
SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,56257966000163,DONOSDABOLA,donosdabola.bet.br,"SPA/MF nº 1.055, de 14 de maio de 2025",0065/2024,56257966,True
7MBR LTDA,56442917000109,VERT,vert.bet.br,"SPA/MF nº 844, de 17 de abril de 2025",0056/2024,56442917,True
7MBR LTDA,56442917000109,CGG,cgg.bet.br,"SPA/MF nº 844, de 17 de abril de 2025",0056/2024,56442917,True
7MBR LTDA,56442917000109,FANBIT,fanbit.bet.br,"SPA/MF nº 844, de 17 de abril de 2025",0056/2024,56442917,True
PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,40633348000130,PIXBET,pix.bet.br,"SPA/MF nº 806, de 14 de abril de 2025",0042/2024,40633348,True
PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,40633348000130,GANHEIBET,ganhei.bet.br,"SPA/MF nº 806, de 14 de abril de 2025",0042/2024,40633348,True
PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,40633348000130,BET DA SORTE,betdasorte.bet.br,"SPA/MF nº 806, de 14 de abril de 2025",0042/2024,40633348,True
VANGUARD ENTRETENIMENTO BRASIL LTDA,56885537000130,ESPORTE 365,esporte365.bet.br,"SPA/MF nº 693, de 1º de abril de 2025",0092/2024,56885537,True
VANGUARD ENTRETENIMENTO BRASIL LTDA,56885537000130,BET AKI,betaki.bet.br,"SPA/MF nº 693, de 1º de abril de 2025",0092/2024,56885537,True
