cnpj,cnpj_basico,empresa,n_autorizacoes,cnpj_dv_ok,portarias,n_marcas,marcas,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS,INFORMAÇÕES JUDICIAIS
55590815000160,55590815,BPX BETS SPORTS GROUP LTDA,3,True,"SPA/MF nº 797, de 23 de março de 2026",3,VAIDEBET | BETPIX365 | OBABET,,,,,
60828451000143,60828451,NOSSO TIME IGAMING LTDA,1,True,"SPA/MF nº 604, de 6 de março de 2026",1,JOGA JUNTO,,,,,
57522731000114,57522731,BB GAMING LTDA,2,True,"SPA/MF nº 92, de 13 de janeiro de 2026",2,BRA | XX,,,,,
56108627000115,56108627,ESTADOX LTDA,3,True,"SPA/MF nº 2.325, de 14 de outubro de 2025",3,TROPINO | BZ | 55W,,,,,
55459453000172,55459453,OIG GAMING BRAZIL LTDA,4,True,"SPA/MF nº 2.040, de 11 de setembro de 2025 || SPA/MF nº 2.096, de 30 de dezembro de 2024",4,ICE | 7GAMES | BETÃO | R7,,,,,
53429401000128,53429401,ENSEADA SERVIÇOS E TECNOLOGIA LTDA,1,True,"SPA/MF nº 1.792, de 13 de agosto de 2025",1,KBET,,,,,
50920462000103,50920462,LAGUNA SERVIÇOS E TECNOLOGIA LTDA,1,True,"SPA/MF nº 1.791, de 13 de agosto de 2025",1,NOSSABET,,,,,
47974569000111,47974569,DEFY LTDA,1,True,"SPA/MF nº 1.666, de 29 de julho de 2025",1,1XBET,,,,,
24038490000183,24038490,CAIXA LOTERIAS S.A.,3,True,"SPA/MF nº 1.665, de 29 de julho de 2025",3,BETCAIXA | MEGABET | XBET CAIXA,,,,,
55238676000100,55238676,TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.,2,True,"SPA/MF nº 1.344, de 18 de junho de 2025",2,BAÚ BINGO | BET DO MILHÃO,,,,,
56905647000117,56905647,RESPONSA GAMMING BRASIL LIMITADA,2,True,"SPA/MF nº 1.343, de 18 de junho de 2025",2,JOGA LIMPO | ENERGIA,,,,,
56875122000186,56875122,SELECT OPERATIONS LTDA,3,True,"SPA/MF nº 1.112, de 21 de maio de 2025",3,MMA | BETVIP | PAPIGAMES,,,,,
