cnpj,empresa,marca,dominio,portaria,requerimento,dominio_pareado
55590815000160,BPX BETS SPORTS GROUP LTDA,VAIDEBET,vaidebet.bet.br,"SPA/MF nº 797, de 23 de março de 2026",0059/2024,True
55590815000160,BPX BETS SPORTS GROUP LTDA,BETPIX365,betpix365.bet.br,"SPA/MF nº 797, de 23 de março de 2026",0059/2024,True
55590815000160,BPX BETS SPORTS GROUP LTDA,OBABET,obabet.bet.br,"SPA/MF nº 797, de 23 de março de 2026",0059/2024,True
60828451000143,NOSSO TIME IGAMING LTDA,JOGA JUNTO,jogajunto.bet.br,"SPA/MF nº 604, de 6 de março de 2026",0062/2025,True
57522731000114,BB GAMING LTDA,BRA,bra.bet.br,"SPA/MF nº 92, de 13 de janeiro de 2026",0210/2024,True
57522731000114,BB GAMING LTDA,XX,xx.bet.br,"SPA/MF nº 92, de 13 de janeiro de 2026",0210/2024,True
56108627000115,ESTADOX LTDA,TROPINO,tropino.bet.br,"SPA/MF nº 2.325, de 14 de outubro de 2025",0091/2024,True
56108627000115,ESTADOX LTDA,BZ,bz.bet.br,"SPA/MF nº 2.325, de 14 de outubro de 2025",0091/2024,True
56108627000115,ESTADOX LTDA,55W,55w.bet.br,"SPA/MF nº 2.325, de 14 de outubro de 2025",0091/2024,True
55459453000172,OIG GAMING BRAZIL LTDA,ICE,ice.bet.br,"SPA/MF nº 2.040, de 11 de setembro de 2025",0044/2025,True
53429401000128,ENSEADA SERVIÇOS E TECNOLOGIA LTDA,KBET,kbet.bet.br,"SPA/MF nº 1.792, de 13 de agosto de 2025",0058/2024,True
50920462000103,LAGUNA SERVIÇOS E TECNOLOGIA LTDA,NOSSABET,nossa.bet.br,"SPA/MF nº 1.791, de 13 de agosto de 2025",0087/2024,True
47974569000111,DEFY LTDA,1XBET,1xbet.bet.br,"SPA/MF nº 1.666, de 29 de julho de 2025",0104/2024,True
24038490000183,CAIXA LOTERIAS S.A.,BETCAIXA,betcaixa.bet.br,"SPA/MF nº 1.665, de 29 de julho de 2025",0081/2024,True
