Empresas autorizadas a explorar a modalidade lotérica de aposta de quota fixa a partir de 1º de janeiro de 2025 em âmbito nacional, conforme o disposto nas Leis nº 13.756, de 12 de dezembro de 2018, nº 14.790, de 29 de dezembro de 2023, e na regulamentação do Ministério da Fazenda.;;;;;;;;;;;;;;
;PORTARIA DE AUTORIZAÇÃO;DENOMINAÇÃO SOCIAL DA EMPRESA;CNPJ;MARCAS;DOMÍNIOS;NÚMERO E ANO DO REQUERIMENTO;;;;;;;;
1;SPA/MF nº 797, de 23 de março de 2026;BPX BETS SPORTS GROUP LTDA;55.590.815/0001-60;VAIDEBET;vaidebet.bet.br; 0059/2024;;;;;;;;
;;;;BETPIX365;betpix365.bet.br;;;;;;;;;
;(Retificada em 26 de março de 2026);;;OBABET;obabet.bet.br;;;;;;;;;
2;SPA/MF nº 604, de 6 de março de 2026;NOSSO TIME IGAMING LTDA;60.828.451/0001-43;JOGA JUNTO;jogajunto.bet.br;0062/2025;;;;;;;;
3;SPA/MF nº 92, de 13 de janeiro de 2026;BB GAMING LTDA;57.522.731/0001-14;BRA;bra.bet.br;0210/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.166, de 28 de abril de 2026);;;XX;xx.bet.br;;;;;;;;;
4;SPA/MF nº 2.325, de 14 de outubro de 2025;ESTADOX LTDA;56.108.627/0001-15;TROPINO;tropino.bet.br;0091/2024;;;;;;;;
;;;;BZ;bz.bet.br;;;;;;;;;
;;;;55W;55w.bet.br;;;;;;;;;
5;SPA/MF nº 2.040, de 11 de setembro de 2025;OIG GAMING BRAZIL LTDA;55.459.453/0001-72;ICE;ice.bet.br;0044/2025;;;;;;;;
6;SPA/MF nº 1.792, de 13 de agosto de 2025;ENSEADA SERVIÇOS E TECNOLOGIA LTDA;53.429.401/0001-28;KBET;kbet.bet.br;0058/2024;;;;;;;;
7;SPA/MF nº 1.791, de 13 de agosto de 2025;LAGUNA SERVIÇOS E TECNOLOGIA LTDA;50.920.462/0001-03;NOSSABET;nossa.bet.br;0087/2024;;;;;;;;
8;SPA/MF nº 1.666, de 29 de julho de 2025;DEFY LTDA;47.974.569/0001-11;1XBET;1xbet.bet.br;0104/2024;;;;;;;;
9;SPA/MF nº 1.665, de 29 de julho de 2025;CAIXA LOTERIAS S.A.;24.038.490/0001-83;BETCAIXA;betcaixa.bet.br;0081/2024;;;;;;;;
;;;;MEGABET;megabet.bet.br;;;;;;;;;
;;;;XBET CAIXA;xbetcaixa.bet.br;;;;;;;;;
10;SPA/MF nº 1.344, de 18 de junho de 2025;TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.;55.238.676/0001-00;BAÚ BINGO;bau.bet.br;0055/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 2.149, de 23 de setembro de 2025);;;BET DO MILHÃO;milhao.bet.br;;;;;;;;;
11;SPA/MF nº 1.343, de 18 de junho de 2025;RESPONSA GAMMING BRASIL LIMITADA;56.905.647/0001-17;JOGA LIMPO;jogalimpo.bet.br;0083/2024;;;;;;;;
;;;;ENERGIA;energia.bet.br;;;;;;;;;
12;SPA/MF nº 1.112, de 21 de maio de 2025;SELECT OPERATIONS LTDA;56.875.122/0001-86;MMA;mmabet.bet.br;0062/2024;;;;;;;;
;;;;BETVIP;betvip.bet.br;;;;;;;;;
;;;;PAPIGAMES;papigames.bet.br;;;;;;;;;
13;SPA/MF nº 1.055, de 14 de maio de 2025;SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA;56.257.966/0001-63;ESPORTIVAVIP;esportivavip.bet.br;0065/2024;;;;;;;;
;;;;CBESPORTES;cbesportes.bet.br;;;;;;;;;
;;;;DONOSDABOLA;donosdabola.bet.br;;;;;;;;;
14;SPA/MF nº 844, de 17 de abril de 2025;7MBR LTDA;56.442.917/0001-09;VERT;vert.bet.br         ;0056/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 975, de 06 de maio de 2025);;;CGG;cgg.bet.br          ;;;;;;;;;
;(E pela Portaria SPA/MF nº 1.176, de 29 de maio de 2025);;;FANBIT;fanbit.bet.br       ;;;;;;;;;
15;SPA/MF nº 806, de 14 de abril de 2025;PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.;40.633.348/0001-30;PIXBET;pix.bet.br;0042/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 2.326, de 14 de outubro de 2025);;;GANHEIBET;ganhei.bet.br;;;;;;;;;
;;;;BET DA SORTE;betdasorte.bet.br;;;;;;;;;
16;SPA/MF nº 693, de 1º de abril de 2025;VANGUARD ENTRETENIMENTO BRASIL LTDA;56.885.537/0001-30; ESPORTE 365;esporte365.bet.br;0092/2024;;;;;;;;
;;;;BET AKI;betaki.bet.br;;;;;;;;;
;;;;JOGO DE OURO;jogodeouro.bet.br;;;;;;;;;
17;SPA/MF nº 528, de 14 de março de 2025;SISTEMA LOTÉRICO DE PERNAMBUCO LTDA.;06.023.798/0001-73;MCGAMES;mcgames.bet.br      ;0109/2024;;;;;;;;
;(Retificada em 26 de março de 2026);;;PLAY;play.bet.br   ;;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 2.007, de 09 de setembro de 2025);;;MONTECARLOS;montecarlos.bet.br  ;;;;;;;;;
18;SPA/MF nº 527, de 14 de março de 2025 ;LBBR APOSTAS DE QUOTA FIXA LIMITADA;56.441.713/0001-45;LUCK.BET;luck.bet.br;0090/2024;;;;;;;;
;;;;1 PRA 1;1pra1.bet.br;;;;;;;;;
;;;;STARTBET;start.bet.br;;;;;;;;;
19;SPA/MF nº 526, de 14 de março de 2025;MERIDIAN GAMING BRASIL SPE LTDA;56.195.600/0001-07;MERIDIAN;meridianbet.bet.br  ;0086/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.203, de 02 de junho de 2025);;;PIN;pin.bet.br;;;;;;;;;
20;SPA/MF nº 525, de 14 de março de 2025;RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA;23.159.703/0001-62;MULTIBET;multi.bet.br;0077/2024;;;;;;;;
;;;;RICOBET;rico.bet.br;;;;;;;;;
;;;;BRXBET;brx.bet.br;;;;;;;;;
21;SPA/MF nº 524, de 14 de março de 2025;PIX NA HORA;55.258.645/0001-10;APOSTA1 ;aposta1.bet.br;0072/2024;;;;;;;;
; (Alterada pela Portaria SPA/MF nº 1.760, de 11 de agosto de 2025);;;APOSTAMAX;apostamax.bet.br;;;;;;;;;
;;;;AVIÃOBET;aviao.bet.br;;;;;;;;;
22;SPA/MF nº 523, de 14 de março de 2025;EA ENTRETENIMENTO E ESPORTES S.A.;53.570.592/0001-43;BATEU BET ;bateu.bet.br;0047/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.885, de 26 de agosto de 2025);;;ESPORTIVA BET;esportiva.bet.br;;;;;;;;;
;(E pela Portaria SPA/MF nº 2.449, de 29 de outubro de 2025);;;;;;;;;;;;;
23;SPA/MF nº 475, de 10 de março de 2025;HILGARDO GAMING LTDA;54.362.120/0001-68;A247;a247.bet.br;0106/2024;;;;;;;;
;;;;HILGARDO;a definir;;;;;;;;;
;;;;HILGARDO GAMING;a definir;;;;;;;;;
24;SPA/MF nº 474, de 10 de março de 2025;VERSUS BRASIL LTDA;55.080.231/0001-44;VERSUSBET ;versus.bet.br       ;0089/2024;;;;;;;;
;;;;VS - VERSUS;a definir;;;;;;;;;
25;SPA/MF nº 473, de 10 de março de 2025;WORLD SPORTS TECHNOLOGY DO BRASIL S.A.;55.822.818/0001-81;BETCOPA;betcopa.bet.br;0075/2024;;;;;;;;
;;;;BRASIL DA SORTE;brasildasorte.bet.br;;;;;;;;;
;;;;FYBET;fybet.bet.br;;;;;;;;;
26;SPA/MF nº 472, de 10 de março de 2025;B3T4 INTERNATIONAL GROUP LTDA;56.706.644/0001-54;BET4;bet4.bet.br;0063/2024;;;;;;;;
;;;;APOSTA BET;aposta.bet.br;;;;;;;;;
;;;; FAZ O BET;fazo.bet.br;;;;;;;;;
27;SPA/MF nº 471, de 10 de março de 2025;FOGGO ENTERTAINMENT LTDA;56.431.248/0001-61;BLAZE;blaze.bet.br;0053/2024;;;;;;;;
;;;;JONBET;jonbet.bet.br;;;;;;;;;
28;SPA/MF nº 470, de 10 de março de 2025;TRACK GAMING BRASIL LTDA;56.706.701/0001-03;BETWARRIOR;betwarrior.bet.br;0049/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.030, e 15 abril de 2026);;;DR. BINGO;drbingo.bet.br;;;;;;;;;
29;SPA/MF nº 469, de 10 de março de 2025;GORILLAS GROUP DO BRASIL LTDA;37.456.039/0001-28;BET GORILLAS;betgorillas.bet.br;0046/2024;;;;;;;;
;;;;BET BUFFALOS;betbuffalos.bet.br;;;;;;;;;
;;;;BET FALCONS;betfalcons.bet.br;;;;;;;;;
30;SPA/MF nº 468, de 10 de março de 2025;BLOW MARKETPLACE LTDA;37.486.405/0001-91;BRAVO;bravo.bet.br;0039/2024;;;;;;;;
;;;;TRADICIONAL;tradicional.bet.br;;;;;;;;;
;;;;APOSTATUDO;apostatudo.bet.br;;;;;;;;;
31;SPA/MF nº 467, de 10 de março de 2025;FAST GAMING S.A.;55.980.542/0001-60;BETFAST;betfast.bet.br      ;0031/2024;;;;;;;;
;;;;FAZ1BET;faz1.bet.br         ;;;;;;;;;
;;;;TIVOBET;tivo.bet.br         ;;;;;;;;;
32;SPA/MF nº 466, de 10 de março de 2025;FUTURAS APOSTAS LTDA; 55.399.607/0001-88;BRAZINO777;brazino777.bet.br ;0023/2024;;;;;;;;
33;SPA/MF nº 465, de 10 de março de 2025 ;GAMEWIZ BRASIL LTDA;56.195.099/0001-89;IJOGO;ijogo.bet.br;0020/2024;;;;;;;;
;;;;FOGO777;fogo777.bet.br;;;;;;;;;
;;;;P9;p9.bet.br;;;;;;;;;
34;SPA/MF nº 464, de 10 de março de 2025 ;GAMEWIZ BRASIL LTDA;56.195.099/0001-89;9F;9f.bet.br;0019/2024;;;;;;;;
;;;;6R;6r.bet.br;;;;;;;;;
;;;;BET.APP;betapp.bet.br;;;;;;;;;
35;SPA/MF nº 399, de 24 de fevereiro de 2025;SABIA ADMINISTRACAO LTDA;04.426.418/0001-16;BR4BET;br4.bet.br;0066/2024;;;;;;;;
;;;;GOL DE BET;goldebet.bet.br;;;;;;;;;
;;;;LOTOGREEN;lotogreen.bet.br;;;;;;;;;
36;SPA/MF nº 374, de 24 de fevereiro de 2025;SKILL ON NET LTDA;55.927.219/0001-22;BACANAPLAY ;bacanaplay.bet.br;0074/2024;;;;;;;;
;;;;PLAYUZU;playuzu.bet.br;;;;;;;;;
37;SPA/MF nº 373, de 24 de fevereiro de 2025;BETBR LOTERIAS LTDA;55.881.028/0001-77;APOSTOU;apostou.bet.br;0045/2024;;;;;;;;
;;;; B1 BET;b1bet.bet.br;;;;;;;;;
;;;;BRBET;brbet.bet.br;;;;;;;;;
38;SPA/MF nº 372, de 24 de fevereiro de 2025;UX ENTERTAINMENT LTDA;56.197.912/0001-50;REALS;reals.bet.br        ;0013/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.896, de 27 de agosto de 2025;;;BINGO;bingo.bet.br;;;;;;;;;
;(E pela Portaria SPA/MF nº 2.292, de 09 de outubro de 2025);;;BETGO;betgo.bet.br;;;;;;;;;
;(E pela Portaria SPA/MF nº 1.066, de 17 de abril de 2026);;;;;;;;;;;;;
39;SPA/MF nº 371, de 24 de fevereiro de 2025;SIMULCASTING BRASIL SOM E IMAGEM S.A.;17.385.948/0001-05;BETSSON;betsson.bet.br;0008/2024;;;;;;;;
40;SPA/MF nº 370, de 24 de fevereiro de 2025;BIG BRAZIL TECNOLOGIA E LOTERIA S.A.; 41.590.869/0001-10;BIG;big.bet.br;0005/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 479, de 10 de março de 2025;;;;;;;;;;;;;
; (E pela Portaria SPA/MF nº 755, de 08 de abril de 2025);;;"
APOSTAR";apostar.bet.br;;;;;;;;;
;(E pela Portaria SPA/MF nº 410, de 12 de fevereiro de 2026);;;;;;;;;;;;;
41;SPA/MF nº 326, de 17 fevereiro de 2025;OPEN GAMING S.A.;53.274.124/0001-21; BET.BET ;betpontobet.bet.br;0103/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 508, de 25 de fevereiro de 2026);;;DONALDBET;donald.bet.br;;;;;;;;;
42;SPA/MF nº 325, de  17 fevereiro de 2025;SEVENX GAMING LTDA;56.504.413/0001-68;BULLSBET;bullsbet.bet.br;0097/2024;;;;;;;;
